0,1,2,3
Financial Year,2020-21,2019-20,2018-19
,Utilised Amount,Utilised Amount,Utilised Amount
Annual Capital Expenditure on Academic Activities and Resources (excluding expenditure on buildings),,,
"Library ( Books, Journals and e-Resources only)","5847623 (Fifty Eight Lakhs Forty Seven Thousands Six
Hundred and Twenty Three Only)","16704963 (One Crore Sixty Seven Lakhs Four Thousands
Nine Hundred and Sixty Three Only)","20200185 (Two Crores Two Lakhs One Hundred and Eighty
Five Only)"
New Equipment and software for Laboratories,"22090834 (Two Crores Twenty Lakhs Ninety Thousands Eight
Hundred and Thirty Four Only)","48861752 (Four Cores Eighty Eight Lakhs Sixty One
Thousands Seven Hundred and Fifty Two Only)","30246564 (Three Crores Two Lakhs Forty Six Thousands Five
Hundred and Sixty Four Only)"
Engineering Workshops,"5836320 (Fifty Eight Lakhs Thirty Six Thousands Three
Hundred and Twenty Only)","2165890 (Twenty One Lakhs Sixty Five Thousands Eight
Hundred and Ninety Only)","3291436 (Thirty Two Lakhs Ninety One Thousands Four
Hundred and Thirty Six Only)"
"Other expenditure on creation of Capital Assets (For setting up
classrooms, seminar hall, conference hall , library, Lab, Engg
workshops excluding expenditure on Land and Building)","47172901 (Four Crore Seventy One Lakhs Seventy Two
Thousands Nine hundred and One Only)","34062940 (Three Crores Forty Lakhs Sixty Two Thousands
Nine Hundred Forty Only)","81493354 (Eight Crores Fourteen Lakhs Ninety Three
Thousands Three Hundred Fifty Four Only)"
