0,1,2,3
Financial Year,2020-21,2019-20,2018-19
,Utilised Amount,Utilised Amount,Utilised Amount
Annual Capital Expenditure on Academic Activities and Resources (excluding expenditure on buildings),,,
"Library ( Books, Journals and e-Resources only)","4553865 (Forty Five Lakhs Fifty Three Thousand Eight
Hundred Sixty Five)","5160211 (Fifty One Lakhs Sixty Thousand Two Hundred
Eleven)","4974227 (Forty Nine Lakhs Seventy Four Thousand Two
Hundred Twenty Seven)"
New Equipment and software for Laboratories,"17278212 (One Crore Seventy Two Lakhs Seventy Eight
Thousand Two Hundred Twelve)","12821458 (One Crore Twenty Eight Lakhs Twenty One
Thousand Four Hundred Fifty Eight)",9646044 (Ninety Six Lakhs Forty Six Thousand Forty Four)
Engineering Workshops,"2105698 (Twenty Lakhs Five Thousand Six Hundred Ninety
Eight)","2521504 (Twenty Five Lakhs Twenty One Thousand Five
Hundred Four)","256759 (Two Lakhs Fifty Six Thousand Seven Hundred Fifty
Nine)"
"Other expenditure on creation of Capital Assets (For setting up
classrooms, seminar hall, conference hall , library, Lab, Engg
workshops excluding expenditure on Land and Building)","41782782 (Four Crore Seventeen Lakhs Eighty Two Thousand
Seven Hundred Eighty Two)","82393527 (Eight Crore TwentyThree Lakhs Ninety Three
Thousand Five Hundred Twenty Seven)","31580791 (Three Crore Fifteen Lakhs Eighty Thousand Seven
Hundred Ninety One)"
