0,1,2,3,4,5,6,7,8,9
Academic Year,"No. of first year
students intake in the
year","No. of first year
students admitted in
the year",Academic Year,"No. of students
admitted through
Lateral entry",Academic Year,"No. of students
graduating in
minimum stipulated
time","No. of students
placed","Median salary of
placed
graduates(Amount in
Rs.)","No. of students
selected for Higher
Studies"
2015-16,1244,1143,2016-17,121,2018-19,1030,371,"375000(three lakhs
seventy five thousand
only)",45
2016-17,1244,1206,2017-18,123,2019-20,1030,444,"365000(three lakhs
sixty five thousand
only)",209
2017-18,1244,1118,2018-19,223,2020-21,1072,549,"405000(Four lakhs five
thousand only)",302
