0,1,2,3,4,5,6
Academic Year,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16
UG [4 Years Program(s)],360,420,400,480,-,-
PG [2 Year Program(s)],55,35,-,-,-,-
PG-Integrated,200,320,320,320,310,-
