0,1,2,3
Financial Year,2020-21,2019-20,2018-19
,Utilised Amount,Utilised Amount,Utilised Amount
Annual Capital Expenditure on Academic Activities and Resources (excluding expenditure on buildings),,,
"Library ( Books, Journals and e-Resources only)","28832821 (TWO CRORE EIGHTY EIGHT LAKH THIRTY TWO
THOUSAND EIGHT HUNDRED TWENTY ONE)",19200000 (ONE CRORE NINETY TWO LAKHS),"13345268 (ONE CRORE THIRTY THREE LAKH FORTY FIVE
THOUSAND TWO HUNDRED SIXTY EIGH)"
New Equipment and software for Laboratories,"28184553 (TWO CRORE EIGHTY ONE LAKH EIGHTY FOUR
THOUSAND FIVE HUNDRED FIFTY THREE)",16400000 (ONE CRORENSIXTY FOUR LAKH),"284415261 (TWENTY EIGHT CRORE FORTY FOUR LAKH
FIFTEEN THOUSAND TWO HUNDRED SIXTY ONE)"
Engineering Workshops,0 (ZERO),0 (Zero),0 (Zero)
"Other expenditure on creation of Capital Assets (For setting up
classrooms, seminar hall, conference hall , library, Lab, Engg
workshops excluding expenditure on Land and Building)","51037025 (FIVE CRORE TEN LAKH THIRTY SEVEN
THOUSAND TWENTY FIVE)",10200000 (ONE CRORE TWO LAKH),"6622973 (SIXTY SIX LAKH TWENTY TWO THOUSAND NINE
HUNDRED SEVENTY THREE)"
