0,1,2,3
Financial Year,2020-21,2019-20,2018-19
Total no. of Consultancy Projects,89,97,141
Total no. of Client Organizations,79,83,90
Total Amount Received (Amount in Rupees),6492583,4722277,39900000
Amount Received in Words,"SIXTY FOUR LAC NINTY TWO THOUSAND FIVE HUNDRED
EIGHTY THREE","FORTY SEVEN LAKH TWENTY TWO THOUSAND TWO
HUNDRED AND SEVENTY SEVEN ONLY",THREE CRORE NINETY NINE LAKH
