0,1,2,3
Financial Year,2020-21,2019-20,2018-19
,Utilised Amount,Utilised Amount,Utilised Amount
Annual Operational Expenditure,,,
Salaries (Teaching and Non Teaching staff),"538962040 (Fifty three crore eighty nine lakh sixty two
thousand forty)","537036331 (Fifty three crore seventy lakh thirty six thousand
three hundred thirty one)","430678205 (Forty three crore six lakh seventy eight thousand
two hundred five)"
"Maintenance of Academic Infrastructure or consumables and
other running expenditures(excluding maintenance of hostels
and allied services,rent of the building, depreciation cost, etc)","551639610 (Fifty five crore sixteen lakh thirty nine thousand six
hundred ten)","643947920 (Sixty four crore thirty nine lakh forty seven
thousand nine hundred twenty)","576809870 (Fifty seven crore sixty eight lakh nine thousand
eight hundred seventy)"
Seminars/Conferences/Workshops,"3355981 (Thirty three lakh fifty five thousand nine hundred
eighty one)","7209353 (Seventy two lakh nine thousand three hundred fifty
three)","12659727 (One crore twenty six lakh fifty nine thousand seven
hundred twenty seven)"
