0,1,2,3
Financial Year,2020-21,2019-20,2018-19
,Utilised Amount,Utilised Amount,Utilised Amount
Annual Operational Expenditure,,,
Salaries (Teaching and Non Teaching staff),"1185403517 (One Hundred Eighteen Crore Fifty Four Lakh
Three Thousand Five Hundred Seventeen)","1281351762 (One Hundred Twenty Eight Crore Thirteen Lakh
Fifty One Thousand Seven Hundred Sixty Two )","900117512 (Ninety Crore One Lakh Seventeen Thousand Five
Hundred Twelve)"
"Maintenance of Academic Infrastructure or consumables and
other running expenditures(excluding maintenance of hostels
and allied services,rent of the building, depreciation cost, etc)","734653789 (Seventy Three Crore Forty Six Lakh Fifty Three
Thousand Seven Hundred Eighty Nine )","683685267 (Sixty Eight Crore Thirty Six Lakh Eighty Five
Thousand Two Hundred Sixty Seven)","472085645 (Forty Seven Crore Twenty Lakh Eighty Five
Thousand Six Hundred Forty Five)"
Seminars/Conferences/Workshops,"203837208 (Twenty Crore Thirty Eight Lakh Thirty Seven
Thousand Two Hundred Eight)","207965443 (Twenty Crore Seventy Nine Lakh Sixty Five
Thousand Four Hundred Forty Three )","132203714 (Thirteen Crore Twenty Two Lakh Three Thousand
Seven Hundred Fourteen)"
