0,1,2,3
Total no. of Sponsored Projects,43,64,6
Total no. of Funding Agencies,11,27,6
Total Amount Received (Amount in Rupees),6469460,1095118,36495000
Amount Received in Words,"SIXTY FOUR LAKH SIXTY NINE THOUSAND FOUR
HUNDRED AND SIXTY ONLY",Ten Lakh Ninety Five Thousand One Hundred Eighteen,Three Crore Sixty Four Lakh Ninety Five Thousand
