0,1,2,3
Financial Year,2020-21,2019-20,2018-19
Total no. of Consultancy Projects,9,23,50
Total no. of Client Organizations,7,18,29
Total Amount Received (Amount in Rupees),32076025,24742486,11146481
Amount Received in Words,Three Crore Twenty Lakh Seventy Six Thousand Twenty Five,"Two Crore Forty Seven Lakh Forty Two Thousand Four
Hundred Eighty Six","One Crore Eleven Lakh Forty Six Thousand Four Hundred
Eighty One"
