0,1,2,3
Financial Year,2020-21,2019-20,2018-19
,Utilised Amount,Utilised Amount,Utilised Amount
Annual Capital Expenditure on Academic Activities and Resources (excluding expenditure on buildings),,,
"Library ( Books, Journals and e-Resources only)","11293938 (One Crore Twelve Lakh Ninety Three Thousand
Nine Hundred Thirty Eight )","10699992 (One Crore Six Lakh Ninety Nine Thousand Nine
Hundred Ninety Two )","7244556 (Seventy Two Lakh Forty Four Thousand Five
Hundred Fifty Six )"
New Equipment and software for Laboratories,"31688110 (Three Crore Sixteen Lakh Eighty Eight Thousand
One Hundred Ten)","29752930 (Two Crore Ninety Seven Lakh Fifty Two Thousand
Nine Hundred Thirty )","23083222 (Two Crore Thirty Lakh Eighty Three Thousand Two
Hundred Twenty Two)"
Engineering Workshops,"12621009 (One Crore Twenty Six Lakh Twenty One Thousand
Nine )","13276334 (One Crore Thirty Two Lakh Seventy Six Thousand
Three Hundred Thirty Four )",15911000 (One Crore Fifty Nine Lakh Eleven Thousand )
"Other expenditure on creation of Capital Assets (For setting up
classrooms, seminar hall, conference hall , library, Lab, Engg
workshops excluding expenditure on Land and Building)","202406604 (Twenty Crore Twenty Four Lakh Six Thousand Six
Hundred Four )","209562492 (Twenty Crore Ninety Five Lakh Sixty Two
Thousand Four Hundred Ninety Two)","195360990 (Nineteen Crore Fifty Three Lakh Sixty Thousand
Nine Hundred Ninety )"
