0,1,2,3
Financial Year,2020-21,2019-20,2018-19
Total no. of Consultancy Projects,640,872,845
Total no. of Client Organizations,108,153,142
Total Amount Received (Amount in Rupees),152323781,187968350,236228530
Amount Received in Words,"Fifteen Crore Twenty three Lakhs Twenty Three Thousand
Seven Hundred and Eighty one","Eighteen Crore Seventy Nine Lakh Sixty Eight Thousand Three
Hundred Fifty","Twenty Three Crore Sixty Two Lakh Twenty Eight Thousand
Five Hundred Thirty"
