0,1,2,3
Financial Year,2020-21,2019-20,2018-19
Total no. of Consultancy Projects,65,73,63
Total no. of Client Organizations,59,43,30
Total Amount Received (Amount in Rupees),41314765,16455315,16400000
Amount Received in Words,"Four Crore Thirteen Lakh Fourteen Thousand Seven Hundred
Sixty Five Only","One Crore Sixty Four Lakh Fifty Five Thousand Three Hundred
Fifteen Only",One Crore Sixty Four Lakh Only
