0,1,2,3
Financial Year,2020-21,2019-20,2018-19
,Utilised Amount,Utilised Amount,Utilised Amount
Annual Capital Expenditure on Academic Activities and Resources (excluding expenditure on buildings),,,
"Library ( Books, Journals and e-Resources only)","79349519 (Seven Crore Ninety Three Lakh Forty Nine
Thousand Five Hundred Nineteen Only)","16687336 (One crore sixty six lakhs eighty seven thousand
three hundred thirty six only)","46306333 (Four crore sixty three lakh six thousand thirty three
only)"
New Equipment and software for Laboratories,"68548409 (Six Crore Eighty Five Lakhs Forty Eight Thousand
Four Hundred Nine Only)",75000031 (Seven Crore Fifty Lakhs Thirteen Only),"75129042 (Seven crore fifty one lakh twenty nine thousand
forty two only)"
Engineering Workshops,0 (Zero),0 (Zero),6350095 (Sixty three lakhs fifty thousand ninety five)
"Other expenditure on creation of Capital Assets (For setting up
classrooms, seminar hall, conference hall , library, Lab, Engg
workshops excluding expenditure on Land and Building)","11774390 (One Crore Seventeen Lakhs Seventy Four
Thousand Three Hundred Ninety Only)","10441904 (One crore four lakhs forty one lakhs nine hundred
four only)","13504473 (One crore thirty five lakh four thousand four
hundred and seventy three)"
