0,1,2,3
Financial Year,2020-21,2019-20,2018-19
,Utilised Amount,Utilised Amount,Utilised Amount
Annual Operational Expenditure,,,
Salaries (Teaching and Non Teaching staff),"2301515053 (Two Hundred Thirty Crores Fifteen Lakhs Fifteen
Thousand Fifty Three)","2225742700 (Two Hundred Twenty Two Crores Fifty Seven
Laksh Forty Two Thousand Seven Hundred)","1975742700 (One Hundred Ninety Seven Crores Fifty Seven
Lakhs Forty Two Thousand Seven Hundred)"
"Maintenance of Academic Infrastructure or consumables and
other running expenditures(excluding maintenance of hostels
and allied services,rent of the building, depreciation cost, etc)","2453439487 (Two Hundred Forty Five Crores Thirty Four
Lakhs Thirty Nine Thousand Four Hundred Eighty Seven)","2372665354 (Two Hundred Thirty Seven Crores Twenty Six
Lakhs Sixty Five Thousand Three Hundred Fifty Four)","1713562490 (One Hundred Seventy One Crores Thirty Five
Lakhs Sixty Two Thousand Four Hundred Ninety)"
Seminars/Conferences/Workshops,23200000 (Two Crores Thirty Two Lakhs),"69083688 (Six Crores Ninety Lakhs Eighty Three Thousand
Six Hundred Eighty Eight)","53542690 (Five Crores Thirty Five Lakhs Forty Two Thousand
Six Hundred Ninety)"
