0,1,2,3,4,5,6
Academic Year,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16
UG [4 Years Program(s)],1118,1015,913,893,-,-
PG [2 Year Program(s)],200,185,-,-,-,-
PG [3 Year Program(s)],19,17,15,-,-,-
