0,1,2,3
Financial Year,2020-21,2019-20,2018-19
,Utilised Amount,Utilised Amount,Utilised Amount
Annual Capital Expenditure on Academic Activities and Resources (excluding expenditure on buildings),,,
"Library ( Books, Journals and e-Resources only)","9547289 (Nine Lakh Fifty Four Thousand Seven Hundred
Twenty Eight )","9396454 (Ninety Three Lakh Ninety Six Thousand Four
Hundred Fifty Four)","8985767 (Eighty Nine Lakh Eighty Five Thousand Seven
Hundred Sixty Seven)"
New Equipment and software for Laboratories,"32896741 (Three Crore Twenty Eight Lakh Ninety Six
Thousand Seven Hundred Forty One )","49052828 (Four Crore Ninety Lakh Fifty Two Thousand Eight
Hundred Twenty Three)","43739912 (Four Crore Thirty Seven Lakh Thirty Nine Thousand
Nine Hundred Twelve)"
Engineering Workshops,"5963254 (Fifty Nine Lakh Sixty Three Thousand Two Hundred
Fifty Four )","7489786 (Seventy Four Lakh Eighty Nine Thousand Seven
Hundred Eighty Six)","5359220 (Fifty Three Lakh Fifty Nine Thousand Two Hundred
Twenty)"
"Other expenditure on creation of Capital Assets (For setting up
classrooms, seminar hall, conference hall , library, Lab, Engg
workshops excluding expenditure on Land and Building)","173658330 (Seventeen Crore Thirty Six Lakh Fifty Eight
Thousand Three Hundred Thirty )","217074320 (Twenty One Crore Seventy Lakh Seventy Four
Thousand Three Hundred Twenty)","138488331 (THIRTEEN CRORE EIGHTY FOUR LAKH
EIGHTY EIGHT THOUSAND THREE HUNDRED AND
THIRTY ONE )"
