0,1,2,3
Financial Year,2020-21,2019-20,2018-19
,Utilised Amount,Utilised Amount,Utilised Amount
Annual Operational Expenditure,,,
Salaries (Teaching and Non Teaching staff),"560033286 (Fifty Six Crore Thirty Three Thousand Two
Hundred Eighty Six Rupees )","503401939 (Fifty Crore Thirty Four Lakh One Thousand Nine
Hundred Thirty Nine Rupees)","384075705 (Thirty Eight Crore Forty Lakh Seventy Five
Thousand Seven Hundred Five Rupees)"
"Maintenance of Academic Infrastructure or consumables and
other running expenditures(excluding maintenance of hostels
and allied services,rent of the building, depreciation cost, etc)","681211989 (Sixty Eight Crore Twelve Lakh Eleven Thousand
Nine Hundred Eighty Nine Rupees)","502778948 (Fifty Crore Twenty Seven Lakh Seventy Eight
Thousand Nine Hundred Forty Eight Rupees)","394293611 (Thirty Nine Crore Forty Two Lakh Ninety Three
Thousand Six Hundred Eleven Rupees)"
Seminars/Conferences/Workshops,"7914332 (Seventy Nine Lakh Fourteen Thousand Three
Hundred Thirty Two Rupees)","55282358 (Five Crore Fifty Two Lakh Eighty Two Thousand
Three Hundred Fifty Eight Rupees)","33366260 (Three Crore Thirty Three Lakh Sixty Six Thousand
Two Hundred Sixty Rupees)"
