0,1,2,3
Financial Year,2020-21,2019-20,2018-19
Total no. of Consultancy Projects,36,48,45
Total no. of Client Organizations,32,43,39
Total Amount Received (Amount in Rupees),56512460,39456900,31256500
Amount Received in Words,"Five Crore Sixty Five Lakh Twelve Thousand Four Hundred
Sixty","Three Crore Ninety Four Lakh Fifty Six Thousand Nine
Hundred",Three Crore Twelve Lakh Fifty Six Thousand Five Hundred
