0,1,2,3,4,5,6,7
Academic Year,"No. of first year
students intake in the
year","No. of first year
students admitted in
the year",Academic Year,"No. of students graduating in minimum
stipulated time","No. of students
placed","Median salary of
placed
graduates(Amount in
Rs.)","No. of students
selected for Higher
Studies"
2017-18,287,215,2018-19,190,116,"625000(Six Lakh
Twenty Five Thousand
)",27
2018-19,287,204,2019-20,170,78,"550000(Five Lakh Fifty
Thousand )",14
2019-20,269,192,2020-21,145,70,"1070000(Ten Lakh
Seventy Thousand )",6
