0,1,2,3
Total Amount Received (Amount in Rupees),64524947,63924947,56049292
Amount Received in Words,"Six Crore Forty Five Lakh Twenty Four Thousand Nine
Hundred and Forty Seven only","Six crore thirty nine lakh twenty four thousand nine hundred
and forty seven only","Five crore sixty lakh forty nine thousand two hundred and
ninety two only"
