0,1,2,3
Financial Year,2020-21,2019-20,2018-19
Total no. of Sponsored Projects,161,171,158
Total no. of Funding Agencies,29,32,28
Total Amount Received (Amount in Rupees),104309305,185350872,123830367
Amount Received in Words,Ten crore forty three lakh nine thousand three hundred five,"Eighteen Crore Fifty Three Lakh Fifty Thousand Eight Hundred
Seventy Two","Twelve Crore Thirty Eight Lakh Thirty Thousand Three
Hundred Sixty Seven"
