0,1,2,3
Financial Year,2020-21,2019-20,2018-19
,Utilised Amount,Utilised Amount,Utilised Amount
Annual Capital Expenditure on Academic Activities and Resources (excluding expenditure on buildings),,,
"Library ( Books, Journals and e-Resources only)","8279000 (Rupees Eighty Two Lakh Seventy Nine Thousand
only)","8031215 (Rupees Eighty Lakh Thirty One Thousand Two
Hundred Fifteen only)","10220193 (Rupees One Crore Two Lakh Twenty Thousand
One Hundred Ninety Three only)"
New Equipment and software for Laboratories,9445000 (Rupees Ninety Four Lakh Forty Five Thousand only),"28110866 (Rupees Two Crore Eighty One Lakh Ten Thousand
Eight Hundred Sixty Six only)","82831482 (Rupees Eight Crore Twenty Eight Lakh Thirty One
Thousand Four Hundred Eighty Two only)"
Engineering Workshops,1049000 (Rupees Ten Lakh Forty Nine Thousand Only),"2256276 (Rupees Twenty Two Lakh Fifty Six Thousand Two
Hundred Seventy Six only)","5243770 (Rupees Fifty Two Lakh Forty Three Thousand Seven
Hundred Seventy only)"
"Other expenditure on creation of Capital Assets (For setting up
classrooms, seminar hall, conference hall , library, Lab, Engg
workshops excluding expenditure on Land and Building)",6609000 (Rupees Sixty Six Lakh Nine Thousand only),"17008317 (Rupees One Crore Seventy Lakh Eight Thousand
Three Hundred Seventeen only)","31194653 (Rupees Three Crore Eleven Lakh Ninety Four
Thousand Six Hundred Fifty Three only)"
