0,1,2,3
Total no. of Funding Agencies,7,4,2
Total Amount Received (Amount in Rupees),18409330,8800871,11602219
Amount Received in Words,"One Crore Eighty Four Lakh Nine Thousand Three Hundred
Thirty",Eighty Eight Lakh Eight Hundred Seventy One,"One Crore Sixteen Lakh Two Thousand Two Hundred
Nineteen"
