0,1,2,3,4,5,6,7
Academic Year,"No. of first year
students intake in the
year","No. of first year
students admitted in
the year",Academic Year,"No. of students graduating in minimum
stipulated time","No. of students
placed","Median salary of
placed
graduates(Amount in
Rs.)","No. of students
selected for Higher
Studies"
2014-15,140,144,2018-19,132,107,"600000(RUPEES SIX
LAKHS ONLY)",21
2015-16,140,126,2019-20,117,68,"800000(RUPEESEIGHT
LAKHS ONLY)",10
2016-17,140,132,2020-21,117,68,"775000(RUPEESSEVEN
LAKHS
SEVENTY FIVE
THOUSAND ONLY)",11
