0,1,2,3
Financial Year,2020-21,2019-20,2018-19
,Utilised Amount,Utilised Amount,Utilised Amount
Annual Capital Expenditure on Academic Activities and Resources (excluding expenditure on buildings),,,
"Library ( Books, Journals and e-Resources only)","47156494 (RUPEES FOUR CRORE SEVENTY ONE LAKHS
FIFTY SIX THOUSAND FOUR HUNDRED NINETY FOUR
ONLY)","21982309 (RUPEES TWO CRORE NINETEEN LAKHS
EIGHTY TWO THOUSAND THREE HUNDRED NINE ONLY)","24740263 (RUPEES TWO CRORE FORTY SEVEN LAKHS
FORTY THOUSAND TWO HUNDRED SIXTY THREE ONLY)"
New Equipment and software for Laboratories,"63507893 (RUPEES SIX CRORE THIRTY FIVE LAKHS
SEVEN THOUSAND EIGHT HUNDRED NINETY THREE
ONLY)","54796010 (RUPEES FIVE CRORE FORTY SEVEN LAKHS
NINETY SIX THOUSAND TEN ONLY)","31686170 (RUPEES THREE CRORE SIXTEEN LAKHS
EIGHTY SIX THOUSAND ONE HUNDRED SEVENTY ONLY)"
Engineering Workshops,"48094151 (RUPEES FOUR CRORE EIGHTY LAKHS NINETY
FOUR THOUSAND ONE HUNDRED FIFTY ONE ONLY)","6065627 (RUPEES SIXTY LAKHS SIXTY FIVE THOUSAND
SIX HUNDRED TWENTY SEVEN ONLY)","17811955 (RUPEES ONE CRORE SEVENTY EIGHT LAKHS
ELEVEN THOUSAND NINE HUNDRED FIFTY FIVE ONLY)"
"Other expenditure on creation of Capital Assets (For setting up
classrooms, seminar hall, conference hall , library, Lab, Engg
workshops excluding expenditure on Land and Building)","69064945 (RUPEES SIX CRORE NINETY LAKHS SIXTY
FOUR THOUSAND NINE HUNDRED FORTY FIVE ONLY)","41984775 (RUPEES FOUR CRORE NINETEEN LAKHS
EIGHTY FOUR THOUSAND SEVEN HUNDRED SEVENTY
FIVE ONLY)","59656703 (RUPEES FIVE CRORES NINETY SIX LAKHS
FIFTY SIX THOUSAND SEVEN HUNDRED THREE ONLY)"
