0,1,2,3
Financial Year,2020-21,2019-20,2018-19
,Utilised Amount,Utilised Amount,Utilised Amount
Annual Operational Expenditure,,,
Salaries (Teaching and Non Teaching staff),"1147002412 (Hundred and fourteen core seventy lakh two
thousand four hundred twelve only)","1128163598 (Hundred and twelve crore eighty one lakh sixty
three thousand five hundred ninety eight only)","1080546717 (Hundred and eight crore five lakh forty six
thousand seven hundred and seventeen only)"
"Maintenance of Academic Infrastructure or consumables and
other running expenditures(excluding maintenance of hostels
and allied services,rent of the building, depreciation cost, etc)","1212826609 (Hundred and twenty one crore twenty eight lakh
twenty six thousand six hundred nine only)","1180845586 (Hundred and eighteen crore eight lakh forty five
thousand five hundred eighty six only)","840438104 (Eighty four crore four lakh thirty eight thousand
one hundred and four only)"
Seminars/Conferences/Workshops,"7833901 (Seventy eight lakh thirty three thousand nine
hundred one only)","24114955 (Two crore forty one lakh fourteen thousand nine
hundred fifty five only)","15258744 (One crore fifty two lakh fifty eight thousand seven
hundred and forty four only)"
