0,1,2,3
Financial Year,2020-21,2019-20,2018-19
,Utilised Amount,Utilised Amount,Utilised Amount
Annual Operational Expenditure,,,
Salaries (Teaching and Non Teaching staff),"1628336785 (Rupees One Hundred Sixty Two Crore Eighty
Three Lakh Thirty Six Thousand Seven Hundred Eighty Five
Only)","1937074601 (Rupees One Hundred Ninety Three Crore
Seventy Lakh Seventy Four Thousand Six Hundred One Only)","1486113999 (Rupees One Hundred Forty Eight Crore Sixty
One Lakh Thirteen Thousand Nine Hundred Ninety Nine Only)"
"Maintenance of Academic Infrastructure or consumables and
other running expenditures(excluding maintenance of hostels
and allied services,rent of the building, depreciation cost, etc)","1055600447 (Rupees One Hundred Five Crore Fifty Six Lakh
Four Hundred Forty Seven Only)","1187352195 (Rupees One Hundred Eighteen Crore Seventy
Three Lakh Fifty Two Thousand One Hundred Ninety Five
Only)","1071356747 (Rupees One Hundred Seven Crore Thirteen
Lakh Fifty Six Thousand Seven Hundred Forty Seven Only)"
Seminars/Conferences/Workshops,"6996396 (Rupees Sixty Nine Lakh Ninety Six Thousand Three
Hundred Ninety Six Only)","24748459 (Rupees Two Crore Forty Seven Lakh Forty Eight
Thousand Four Hundred Fifty Nine Only)","24657065 (Rupees Two Crore Forty Six Lakh Fifty Seven
Thousand Sixty Five Only)"
