0,1,2,3
Financial Year,2020-21,2019-20,2018-19
Total no. of Consultancy Projects,252,241,31
Total no. of Client Organizations,185,177,28
Total Amount Received (Amount in Rupees),4531514,3864960,1767108
Amount Received in Words,"Forty Five Lakhs Thirty One Thousand Five Hundred and
Fourteen","Thirty Eight Lakhs Sixty Four Thousand Nine Hundred and
Sixty","Seventeen Lakh Sixty Seven Thousand One Hundred and
Eight"
