0,1,2,3
Financial Year,2020-21,2019-20,2018-19
Total no. of Consultancy Projects,1138,1367,1413
Total no. of Client Organizations,591,737,942
Total Amount Received (Amount in Rupees),2074824,2572938,3269339
Amount Received in Words,"Twenty Lakhs Seventy Four Thousand Eight Hundred Twenty
Four","Twenty Five Lakhs Seventy Two Thousand Nine Hundred
Thirty Eight","Thirty Two Lakhs Sixty Nine Thousand Three Hundred Thirty
Nine"
