0,1,2,3
Financial Year,2020-21,2019-20,2018-19
,Utilised Amount,Utilised Amount,Utilised Amount
Annual Operational Expenditure,,,
Salaries (Teaching and Non Teaching staff),"391300862 (Thirty Nine Crore Thirteen Lakhs Eight Hundred
and Sixty Two)","439531997 (Forty Three Crore Ninety Five Lakhs Thirty One
Thousand Nine Hundred and ninety Seven)","407761311 (Forty Crore Seventy Seven Lakhs Sixty One
Thousand Three hundred and Eleven)"
"Maintenance of Academic Infrastructure or consumables and
other running expenditures(excluding maintenance of hostels
and allied services,rent of the building, depreciation cost, etc)","599511560 (Fifty Nine Crore Ninety Five Lakhs Eleven
Thousand Five Hundred and Sixty)","398369419 (Thirty Nine Crore Eighty Three Lakhs Sixty Nine
Thousand Four Hundred and Nineteen)","365120515 (Thirty Six Crore Fifty One Lakhs Twenty Thousand
Five Hundred and Fifteen)"
Seminars/Conferences/Workshops,"883597 (Eight Lakhs Eighty Three Thousand Five Hundred and
Ninety Seven)","3854460 (Thirty Eight Lakhs Fifty Four Thousand Four
Hundred and Sixty )","4081681 (Forty Lakhs Eighty One Thousand Six Hundred and
Eighty One )"
