0,1,2,3
Financial Year,2020-21,2019-20,2018-19
,Utilised Amount,Utilised Amount,Utilised Amount
Annual Capital Expenditure on Academic Activities and Resources (excluding expenditure on buildings),,,
"Library ( Books, Journals and e-Resources only)","9854778 (NINETY EIGHT LAKHS FIFTY FOUR THOUSAND
SEVEN HUNDRED SEVENTY EIGHT ONLY)","9757206 (NINETY SEVEN LAKHS FIFTY SEVEN THOUSAND
TWO HUNDRED SIX ONLY)","7805765 (SEVENTY EIGHT LAKHS FIVE THOUSAND
SEVEN HUNDRED SIXTY FIVE ONLY)"
New Equipment and software for Laboratories,"35319775 (THREE CRORES FIFTY THREE LAKHS
NINETEEN THOUSAND SEVEN HUNDRED SEVENTY FIVE
ONLY)","47093034 (FOUR CRORES SEVENTY LAKHS NINETY
THREE THOUSAND THIRTY FOUR ONLY)","36225411 (THREE CRORES SISTY TWO LAKHS TWENTY
FIVE THOUSAND FOUR HUNDRED ELEVEN ONLY)"
Engineering Workshops,"9755572 (NINETY SEVEN LAKHS FIFTY FIVE THOUSAND
FIVE HUNDRED SEVENTY TWO ONLY)","9658983 (NINETY SIX LAKHS FIFTY EIGHT THOUSAND
NINE HUNDRED EIGHTY THREE ONLY)","7429987 (SEVENTY FOUR LAKHS TWENTY NINE
THOUSAND NINE HUNDRED EIGHTY SEVEN ONLY)"
"Other expenditure on creation of Capital Assets (For setting up
classrooms, seminar hall, conference hall , library, Lab, Engg
workshops excluding expenditure on Land and Building)","45337882 (FOUR CRORES FIFTY THREE LAKHS THIRTY
SEVEN THOUSAND EIGHT HUNDRED EIGHTY TWO ONLY)","43178936 (FOUR CRORES THIRTY ONE LAKHS SEVENTY
EIGHT THOUSAND NINE HUNDRED THIRTY SIX ONLY)","33214566 (THREE CRORES THIRTY TWO LAKHS
FOURTEEN THOUSAND FIVE HUNDRED SIXTY SIX ONLY)"
