0,1,2,3
Financial Year,2020-21,2019-20,2018-19
Total no. of Consultancy Projects,613,471,494
Total no. of Client Organizations,227,80,253
Total Amount Received (Amount in Rupees),42426060,54921532,39385929
Amount Received in Words,"Four Crores Twenty four Lakhs Twenty six Thousand and Sixty
only","Five Crore Forty nine Lakhs Twenty one Thousand Five
Hundred and Thirty two only","Three Crore Ninety three Lakhs Eighty five Thousand Nine
Hundred and Twenty nine only"
