0,1,2,3,4,5,6
Academic Year,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16
UG [4 Years Program(s)],692,469,382,382,-,-
PG [2 Year Program(s)],111,111,-,-,-,-
