0,1,2,3
Financial Year,2020-21,2019-20,2018-19
,Utilised Amount,Utilised Amount,Utilised Amount
Annual Operational Expenditure,,,
Salaries (Teaching and Non Teaching staff),"315232930 (Thirty one crores fifty two lakhs thirty two thousand
nine hundred thirty only)","328735168 (Thirty two crores eighty seven lakhs thirty five
thousand one hundred sixty eight only)","303163558 (Thirty crores thirty one lakhs sixty three thousand
five hundred fifty eight only)"
"Maintenance of Academic Infrastructure or consumables and
other running expenditures(excluding maintenance of hostels
and allied services,rent of the building, depreciation cost, etc)","188385704 (Eighteen crores eighty three lakhs eighty five
thousand seven hundred four only)","252036114 (Twenty five crores twenty lakhs thirty six thousand
one hundred fourteen only)","231600594 (Twenty three crores sixteen lakhs five hundred
ninety four only)"
Seminars/Conferences/Workshops,"491399 (Four lakhs ninety one thousand three hundred ninety
nine only)","3352491 (Thirty three lakhs fifty two thousand four hundred
ninety one only)","2327891 (Twenty three lakhs twenty seven thousand eight
hundred ninety one only)"
