0,1,2,3,4,5,6,7
2015-16,120,67,2019-20,61,51,"2342100(Twenty three
lakhs forty two
thousand one hundred)",6
2016-17,120,107,2020-21,97,81,"2010000(Twenty lakhs
ten thousand)",10
