0,1,2,3
Total no. of Sponsored Projects,12,20,23
Total no. of Funding Agencies,10,13,7
Total Amount Received (Amount in Rupees),24980393,29634172,39811428
Amount Received in Words,"Two crores forty nine lakhs eighty thousand three hundred and
ninety three only","Two crores ninety six lakhs thirty four thousand one hundred
and seventy two only","Three crores ninety eight lakhs eleven thousand four hundred
and twenty eight only"
