0,1,2,3,4,5,6
Academic Year,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16
UG [4 Years Program(s)],366,361,315,286,-,-
PG [2 Year Program(s)],255,145,-,-,-,-
PG [3 Year Program(s)],0,45,45,-,-,-
