0,1,2,3,4,5,6
Academic Year,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16
UG [4 Years Program(s)],1028,869,911,824,-,-
UG [5 Years Program(s)],97,83,96,88,88,-
PG [2 Year Program(s)],849,701,-,-,-,-
