0,1,2,3
Financial Year,2020-21,2019-20,2018-19
,Utilised Amount,Utilised Amount,Utilised Amount
Annual Capital Expenditure on Academic Activities and Resources (excluding expenditure on buildings),,,
"Library ( Books, Journals and e-Resources only)",48661000 (Four Crore Eighty Six Lacs Sixty One Thousand),"13183631 (One Crore Thirty One Lakh Eighty Three Thousand
Six Hundred Thirty One Only)","5452342 (Fifty Four Lakh Fifty Two Thousand Three Hundred
Forty Two Only)"
New Equipment and software for Laboratories,"2211264 (Twenty Two Lacs eleven Thousand Two hundred
Sixty Four)",1128000 (Eleven Lakh Twenty Eight Thousand Only),"1887917 (Eighteen Lakh Eighty Seven Thousand Nine
Hundred Seventeen Only)"
Engineering Workshops,"951239 (Nine Lacs Fifty One Thousand Two Hindered Ninety
Nine )",0 (Zero),0 (Zero)
"Other expenditure on creation of Capital Assets (For setting up
classrooms, seminar hall, conference hall , library, Lab, Engg
workshops excluding expenditure on Land and Building)","1574322 (Fifteen Lacs Seventy Four Thousand Three Hundred
Twenty Two)","287917 (Two Lakh Eighty Seven Thousand Nine Hundred
Seventeen Only)","1117229 (Eleven Lakh Seventeen Thousand Two Hundred
Twenty Nine Only)"
