0,1,2,3,4,5,6
Academic Year,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16
UG [4 Years Program(s)],1140,1140,1080,1080,-,-
UG [5 Years Program(s)],60,60,0,0,0,-
PG [2 Year Program(s)],78,78,-,-,-,-
