0,1,2,3,4,5,6
Academic Year,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16
UG [4 Years Program(s)],439,388,310,231,-,-
UG [5 Years Program(s)],0,0,0,76,76,-
PG [2 Year Program(s)],195,158,-,-,-,-
PG-Integrated,0,0,0,36,36,-
