0,1,2,3,4,5,6,7,8,9
Academic Year,"No. of first year
students intake in the
year","No. of first year
students admitted in
the year",Academic Year,"No. of students
admitted through
Lateral entry",Academic Year,"No. of students
graduating in
minimum stipulated
time","No. of students
placed","Median salary of
placed
graduates(Amount in
Rs.)","No. of students
selected for Higher
Studies"
2015-16,900,866,2016-17,0,2018-19,825,726,"1450900(FourteenLakhs
Fifty Thousand
Nine Hundred Only)",99
2016-17,845,844,2017-18,0,2019-20,794,663,"1754000(SeventeenLakhs
Fifty Four
Thousand Only)",131
2017-18,815,808,2018-19,0,2020-21,768,624,"1672000(SixteenLakhs
Seventy Two
Thousand Only)",144
