0,1,2,3
Total Amount Received (Amount in Rupees),28916815,21275132,18614233
Amount Received in Words,"Two Crore Eighty Nine Lakh Sixteen Thousand Eight Hundred
Fifteen","Two Crore Twelve Lac Seventy Five Thousand One Hundred
Thirty Two","One Crore Eighty Six Lac Fourteen Thousand Two Hundred
Thirty Three"
