0,1,2,3
Financial Year,2020-21,2019-20,2018-19
,Utilised Amount,Utilised Amount,Utilised Amount
Annual Operational Expenditure,,,
Salaries (Teaching and Non Teaching staff),"1144703896 (RUPEES ONE HUNDRED FOURTEEN CRORE
FORTY SEVEN LAKH THREE THOUSAND EIGHT
HUNDRED NINETY SIX ONLY)","1117752348 (RUPEES ONE HUNDRED ELEVEN CRORE
SEVENTY SEVEN LAKH FIFTY TWO THOUSAND THREE
HUNDRED FORTY EIGHT ONLY)","1022186595 (RUPEES ONE HUNDRED TWO CRORE
TWENTY ONE LAKH EIGHTY SIX THOUSAND FIVE
HUNDRED NINTY FIVE ONLY)"
"Maintenance of Academic Infrastructure or consumables and
other running expenditures(excluding maintenance of hostels
and allied services,rent of the building, depreciation cost, etc)","1297841571 (RUPEES ONE HUNDRED TWENTY NINE
CRORE SEVENTY EIGHT LAKH FORTY ONE THOUSAND
FIVE HUNDRED SEVENTY ONE ONLY)","1174047264 (RUPEES ONE HUNDRED SEVENTEEN
CRORE FORTY LAKH FORTY SEVEN THOUSAND TWO
HUNDRED SIXTY FOUR ONLY)","863629330 (RUPEES EIGHTY SIX CRORE THIRTY SIX
LAKH TWENTY NINE THOUSAND THREE HUNDRED
THIRTY ONLY)"
