0,1,2,3,4,5,6,7,8,9
Academic Year,"No. of first year
students intake in the
year","No. of first year
students admitted in
the year",Academic Year,"No. of students
admitted through
Lateral entry",Academic Year,"No. of students
graduating in
minimum stipulated
time","No. of students
placed","Median salary of
placed
graduates(Amount in
Rs.)","No. of students
selected for Higher
Studies"
2015-16,2664,2664,2016-17,47,2018-19,2451,713,"330000(Three Lakhs
and Thirty Thousand
Only)",308
2016-17,3168,3168,2017-18,37,2019-20,2907,723,"380000(Three Lakhs
and Eighty Thousand
Only)",322
2017-18,2700,2151,2018-19,136,2020-21,2197,1352,"360000(THREE LAKH
SIXTY THOUSAND)",349
