0,1,2,3
Financial Year,2020-21,2019-20,2018-19
,Utilised Amount,Utilised Amount,Utilised Amount
Annual Capital Expenditure on Academic Activities and Resources (excluding expenditure on buildings),,,
"Library ( Books, Journals and e-Resources only)","17891981 (Rupees One Crore Seventy Eight Lac Ninety One
Thousand Nine Hundred Eighty One Only)","17423292 (Rupees One Crore Seventy Four Lac Twenty Three
Thousand Two Hundred Ninety Two Only)","13371003 (Rupees One Crore Thirty Three Lac Seventy One
Thousand Three Only)"
New Equipment and software for Laboratories,"22905591 (Rupees Two Crore Twenty Nine Lac Five Thousand
Five Hundred Ninety One Only)","13228524 (Rupees One Crore Thirty Two Lac Twenty Eight
Thousand Five Hundred Twenty Four Only)","26437849 (Rupees Two Crore Sixty Four Lac Thirty Seven
Thousand Eight Hundred Forty Nine Only)"
Engineering Workshops,"52310289 (Rupees Five Crore Twenty Three Lac Ten
Thousand Two Hundred Eighty Nine Only)","42214524 (Rupees Four Crore Twenty Two Lac Fourteen
Thousand Five Hundred Twenty Four Only)","53740439 (Rupees Five Crore Thirty Seven Lac Forty
Thousand Four Hundred Thirty Nine Only)"
"Other expenditure on creation of Capital Assets (For setting up
classrooms, seminar hall, conference hall , library, Lab, Engg
workshops excluding expenditure on Land and Building)","44326391 (Rupees Four Crore Forty Three Lac Twenty Six
Thousand Three Hundred Ninety One Only)","50202387 (Rupees Five Crore Two Lac Two Thousand Three
Hundred Eighty Seven Only)","476726146 (Rupees Forty Seven Crore Sixty Seven Lac
Twenty Six Thousand One Hundred Forty Six Only)"
