0,1,2,3
Financial Year,2020-21,2019-20,2018-19
,Utilised Amount,Utilised Amount,Utilised Amount
Annual Operational Expenditure,,,
Salaries (Teaching and Non Teaching staff),"351479161 (Thirty Five Crore Twenty Five Lakhs Eighty Nine
Thousand Four Hundred and Eightd twenty six only)","340693304 (Thirty Four Crore Six Lakh Ninety Three Thousand
Three Hundred and Four)","329734973 (Thirty Two Crore Ninety Seven Lakh Thirty Four
Thousand Nine Hundred and Seventy Three)"
"Maintenance of Academic Infrastructure or consumables and
other running expenditures(excluding maintenance of hostels
and allied services,rent of the building, depreciation cost, etc)","207505804 (Twenty Crore Seventy Five Lakhs Five Thousand
Eight Hundred and Four)","132805713 (Thirteen Crore Twenty Eight Lakhs Five Thousand
Seven Hundred and Thirteen)","120398301 (Twelve Crore Three Lakh Ninety Eight Thousand
Three Hundred and One)"
Seminars/Conferences/Workshops,"2236669 (Twenty Two Lakhs Thirty Six Thousand Six Hundred
Sixty Nine)","4023205 (Forty Lakh Twenty Three Thousand Two Hundred
and Five)","9106171 (Ninety One Lakh Six Thousand One Hundred
Seventy One)"
