0,1,2,3
Ph.D (Student pursuing doctoral program till 2020-21),,,
,,Total Students,
Full Time,,119,
Part Time,,19,
No. of Ph.D students graduated (including Integrated Ph.D),,,
,2020-21,2019-20,2018-19
Full Time,7,13,4
Part Time,0,0,0
