0,1,2,3,4,5,6,7
2018-19,68,51,2019-20,41,14,"550000(Five Lakhs
and Fifty Thousand)",11
2019-20,84,57,2020-21,46,18,"827000(Eight lakhs
and twenty seven
thousand )",7
