0,1,2,3,4,5,6
Academic Year,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16
UG [4 Years Program(s)],375,220,252,163,-,-
PG [2 Year Program(s)],84,84,-,-,-,-
PG-Integrated,0,168,190,126,126,-
