0,1,2,3
Financial Year,2020-21,2019-20,2018-19
,Utilised Amount,Utilised Amount,Utilised Amount
Annual Capital Expenditure on Academic Activities and Resources (excluding expenditure on buildings),,,
"Library ( Books, Journals and e-Resources only)","21959668 (Two Crore Nineteen Lakh Fifty Nine Thousand Six
Hundred Sixty Eight rupees only)","33844951 (Three Crore Thirty Eight Lakh Forty Four Thousand
Nine Hundred Fifty One rupees only)","13490231 (One Crore Thirty Four Lakh Ninety Thousand Two
Hundred Thirty One rupees only)"
New Equipment and software for Laboratories,"54316048 (Five Crore Forty Three Lakh Sixteen Thousand
Forty Eight rupees only)","157875222 (Fifteen Crore Seventy Eight Lakh Seventy Five
Thousand Two Hundred Twenty Two rupees only)","121257272 (Twelve Crore Twelve Lakh Fifty Seven Thousand
Two Hundred Seventy Two rupees only)"
Engineering Workshops,206665 (Two Lakh Six Thousand Six Hundred Sixty Five ),0 (zero),"20042862 (Two Crore Forty Two Thousand Eight Hundred
Sixty Two )"
"Other expenditure on creation of Capital Assets (For setting up
classrooms, seminar hall, conference hall , library, Lab, Engg
workshops excluding expenditure on Land and Building)","78956097 (Seven Crore Eighty Nine Lakh Fifty Six Thousand
Ninety Seven rupees only)","116859992 (Eleven Crore Sixty Eight Lakh Fifty Nine
Thousand Nine Hundred Ninety Two rupees only)","201708357 (Twenty Crore Seventeen Lakh Eight Thousand
Three Hundred Fifty Seven rupees only)"
