0,1,2,3
Financial Year,2020-21,2019-20,2018-19
,Utilised Amount,Utilised Amount,Utilised Amount
Annual Capital Expenditure on Academic Activities and Resources (excluding expenditure on buildings),,,
"Library ( Books, Journals and e-Resources only)","4289494 (Forty Two Lakhs Eighty Nine Thousand Four
Hundred Ninety Four Only)","6198860 (Sixty One lakhs and Ninety Eight thousand Eight
Hundred and Sixty Only)","4691184 (Forty six Lakh ninety one Thousand one hundred
eighty four only)"
New Equipment and software for Laboratories,"27071789 (Two Hundred Seventy Lakh Seventy One
Thousand Seven Hundred Eighty Nine Only)","28654244 (Two hundred Eight Six lakhs Fifty Four thousand
Two hundred and Forty Four only)","67013909 (Six hundred seventy Lakhs Thirteen Thousand Nine
Hundred and Nine only)"
Engineering Workshops,"4154660 (Forty One Lakh Fifty Four Thousand Six Hundred
Sixty only)","1951971 (Nineteen Lakhs Fifty One Thousand Nine Hundred
and Seventy One Only)","2992945 (Twenty Nine Lakhs Nine Two Thousand Nine
Hundred Forty Five Only)"
