0,1,2,3
Financial Year,2020-21,2019-20,2018-19
,Utilised Amount,Utilised Amount,Utilised Amount
Annual Capital Expenditure on Academic Activities and Resources (excluding expenditure on buildings),,,
"Library ( Books, Journals and e-Resources only)","89915107 (Eight Crore Ninety Nine Lakh Fifteen Thousand
One Hundred Seven )","88096995 (Eight Crore Eighty Lakh Ninety Six Thousand Nine
Hundred Ninety Five )","76444976 (Seven Crore Sixty Four Lakh Forty Four Thousand
Nine Hundred Seventy Six )"
New Equipment and software for Laboratories,"358473437 (THIRTY FIVE CRORE EIGHTY FOUR LAKH
SEVENTY THREE THOUSAND FOUR HUNDRED AND
THIRTY SEVEN ONLY)","458239585 (FORTY FIVE CRORE EIGHTY TWO LAKH
THIRTY NINE THOUSAND FIVE HUNDRED AND EIGHTY
FIVE ONLY)","470658104 (FORTY SEVEN CRORE SIX LAKH FIFTY EIGHT
THOUSAND ONE HUNDRED AND FOUR ONLY)"
Engineering Workshops,0 (ZERO),0 (ZERO),0 (ZERO)
"Other expenditure on creation of Capital Assets (For setting up
classrooms, seminar hall, conference hall , library, Lab, Engg
workshops excluding expenditure on Land and Building)","169095594 (SIXTEEN CRORE NINETY LAKH NINETY FIVE
THOUSAND FIVE HUNDRED AND NINETY FOUR ONLY)","449957047 (Forty Four Crore Ninety Nine Lakh Fifty Seven
Thousand Forty Seven )","177020473 (Seventeen Crore Seventy Lakh Twenty Thousand
Four Hundred And Seventy Three)"
