0,1,2,3
Financial Year,2020-21,2019-20,2018-19
Total no. of Consultancy Projects,27,76,6
Total no. of Client Organizations,19,41,135
Total Amount Received (Amount in Rupees),41511155,43662217,24603048
Amount Received in Words,"Four Crore Fifteen Lakh Eleven Thousand One Hundred Fifty
Five","Four Crore Thirty Six Lakh Sixty Two Thousand Two Hundred
and Seventeen",Two Crore Forty Six Lakh Three Thousand and Forty Eight
