0,1,2,3
Total Amount Received (Amount in Rupees),8098348,11823461,13501407
Amount Received in Words,"Eighty Lakhs Ninety Eight Thousand Three Hundred Fourty
Eight Only","One Crore Eighteen Lakhs Twenty Three Thousand Four
Hundred Sixty One only","One Crore Thirty Five Lakhs Fourteen Hundred and Seven
Only"
