0,1,2,3
Total no. of Sponsored Projects,27,37,31
Total no. of Funding Agencies,12,24,12
Total Amount Received (Amount in Rupees),37228210,45024746,44652246
Amount Received in Words,"Three crores seventy two lakhs twenty eight thousand two
hundred and ten","Four crores fifty lakhs twenty four thousand seven hundred and
forty six","Four crores forty six lakhs fifty two thousand two hundred and
forty six"
