0,1,2,3
Financial Year,2020-21,2019-20,2018-19
,Utilised Amount,Utilised Amount,Utilised Amount
Annual Capital Expenditure on Academic Activities and Resources (excluding expenditure on buildings),,,
"Library ( Books, Journals and e-Resources only)","3804565 (THIRTY EIGHT LAKHS FOUR THOUSAND FIVE
HUNDRED SIXTY FIVE)","2993725 (TWENTY NINE LAKHS NINETY THREE
THOUSAND SEVEN HUNDRED AND TWENTY FIVE)","6137401 (SIXTY ONE LAKH THIRTY SEVEN THOUSAND
FOUR HUNDRED ONE)"
New Equipment and software for Laboratories,"14823621 (ONE CRORE FORTY EIGHT LAKHS TWENTY
THREE THOUSAND SIX HUNDRED TWENTY ONE)","12608879 (ONE CRORE TWENTY SIX LAKHS EIGHT
THOUSAND EIGHT HUNDRED SEVENTY NINE)","30839112 (THREE CRORE EIGHT LAKHS THIRTY NINE
THOUSAND HUNDRED AND TWELVE)"
Engineering Workshops,"15234585 (ONE CRORE FIFTY TWO LAKHS THIRTY FOUR
THOUSAND FIVE HUNDRED EIGHTY FIVE)","13413443 (ONE CRORE THIRTY FOUR LAKHS THIRTEEN
THOUSAND FOUR HUNDRED FORTY THREE)","10521419 (ONE CRORE FIVE LAKHS TWENTY ONE
THOUSAND FOUR HUNDRED NINETY EIGHT)"
"Other expenditure on creation of Capital Assets (For setting up
classrooms, seminar hall, conference hall , library, Lab, Engg
workshops excluding expenditure on Land and Building)","998396 (NINE LAKH NINETY EIGHT THOUSAND THREE
HUNDRED AND NINETY SIX ONLY)","11093136 (ONE CRORE TEN LAKH NINETY THREE
THOUSAND ONE HUNDRED AND THIRTY SIX ONLY)","1721183 (SEVENTEEN LAKH TWENTY ONE THOUSAND
ONE HUNDRED AND EIGHTY THREE ONLY)"
