0,1,2,3
Financial Year,2020-21,2019-20,2018-19
,Utilised Amount,Utilised Amount,Utilised Amount
Annual Operational Expenditure,,,
Salaries (Teaching and Non Teaching staff),"283240443 (TWENTY EIGHT CRORE THIRTY TWO LAKHS
FORTY THOUSAND FOUR HUNDRED FORTY THREE)","283240443 (TWENTY EIGHT CRORE THIRTY TWO LAKHS
FORTY THOUSAND FOUR HUNDRED FORTY THREE)","262073303 (TWENTY SIX CRORE TWENTY LAKHS
SEVENTY THREE THOUSAND THREE HUNDRED THREE
ONLY)"
"Maintenance of Academic Infrastructure or consumables and
other running expenditures(excluding maintenance of hostels
and allied services,rent of the building, depreciation cost, etc)","93970950 (NINE CRORE THIRTY NINE LAKH SEVENTY
THOUSAND NINE HUNDRED AND FIFTY ONLY)","91605573 (NINE CRORE SIXTEEN LAKH FIVE THOUSAND
FIVE HUNDRED AND SEVENTY THREE ONLY)","92429265 (NINE CRORE TWENTY FOUR LAKH TWENTY
NINE THOUSAND TWO HUNDRED AND SIXTY FIVE ONLY)"
Seminars/Conferences/Workshops,0 (ZERO),"4425550 (FORTY FOUR LAKH TWENTY FIVE THOUSAND
FIVE HUNDRED AND FIFTY ONLY)","2245444 (TWENTY TWO LAKH FORTY FIVE THOUSAND
FOUR HUNDRED AND FORTY FOUR ONLY)"
