0,1,2,3
Financial Year,2020-21,2019-20,2018-19
,Utilised Amount,Utilised Amount,Utilised Amount
Annual Capital Expenditure on Academic Activities and Resources (excluding expenditure on buildings),,,
"Library ( Books, Journals and e-Resources only)","8179983 (Eighty One Lakh Seventy Nine Thousand Nine
Hundred and Eighty Three Rupees )","6255551 (Sixty Two Lakh Fifty Five Thousand Five Hundred
And Fifty One Rupees)","6142034 (Sixty One Lakh Forty Two Thousand Thirty Four
Rupees )"
New Equipment and software for Laboratories,"32973281 (Three Crore Twenty NIne Lakh Seventy Three
Thousand Two Hundred and Eighty One Rupees )","18891785 (One Crore Eighty Eight Lakh Ninety One Thousand
Seven Hundred And Eighty Five Rupees )","9147370 (Ninety One Lakh Forty Seven Thousand Three
Hundred And Seventy Rupees)"
Engineering Workshops,"140615 (One Lakh Forty Thousand Six Hundred and Fifteen
Rupees )","7208799 (Seventy Two Lakh Eight Thousand Seven Hundred
And Ninety Nine Rupees)","795248 (Seven Lakh Ninety Five Thousand Two Hundred And
Forty Eight Rupees)"
"Other expenditure on creation of Capital Assets (For setting up
classrooms, seminar hall, conference hall , library, Lab, Engg
workshops excluding expenditure on Land and Building)","6498206 (Sixty Four Lakh Ninety Eight Thousand Two
Hundred and Six Rupees )","16885908 (One Crore Sixty Eight Lakh Eighty Five Thousand
Nine Hundred And Eight Rupees)","10330677 (One Crore Three Lakh Thirty Thousand Six
Hundred And Seventy Seven Rupees)"
