0,1,2,3
Financial Year,2020-21,2019-20,2018-19
,Utilised Amount,Utilised Amount,Utilised Amount
Annual Capital Expenditure on Academic Activities and Resources (excluding expenditure on buildings),,,
"Library ( Books, Journals and e-Resources only)","9457590 (Ninety Four Lakh Fifty Seven Thousand Five
Hundred Ninety Only)","6418895 (Sixty Four Lakh Eighteen Thousand Eight Hundred
Ninety Five Only)","7733146 (Seventy Seven Lakh Thirty Three Thousand One
Hundred Forty Six Only)"
New Equipment and software for Laboratories,"7002250 (Seventy Lakh Two Thousand Two Hundred Fifty
Only)","5981778 (Fifty Nine Lakh Eighty One Thousand Seven
Hundred Seventy Eight Only)","6968208 (Sixty Nine Lakh Sixty Eight Thousand Two Hundred
Eight Only)"
Engineering Workshops,"9718954 (Ninety Seven Lakh Eighteen Thousand Nine
Hundred Fifty Four Only)","4331584 (Forty Three Lakh Thirty One Thousand Five Hundred
Eighty Four Only)","5794459 (Fifty Seven Lakh Ninety Four Thousand Four
Hundred Fifty Nine Only)"
"Other expenditure on creation of Capital Assets (For setting up
classrooms, seminar hall, conference hall , library, Lab, Engg
workshops excluding expenditure on Land and Building)",6936060 (Sixty Nine Lakh Thirty Six Thousand Sixty Only),"15350784 (One Crore Fifty Three Lakh Fifty Thousand Seven
Hundred Eighty Four Only)","2677559 (Twenty Six Lakh Seventy Seven Thousand Five
Hundred Fifty Nine Only)"
