0,1,2,3
Financial Year,2020-21,2019-20,2018-19
Total no. of Sponsored Projects,123,102,113
Total no. of Funding Agencies,48,42,32
Total Amount Received (Amount in Rupees),722577050,520361352,545425238
Amount Received in Words,"Seventy Two crores forty four lakhs seventy seven thousand
fifty only","Fifty two crores three lakhs sixty one thousand three hundred
fifty two only","Fifty Four Crore Fifty Four Lakh Twenty Five Thousand Two
Hundred Thirty Eight"
